Title,Score,Directors,Actors,url
奠基者,7.9,康洪雷 / 张元龙,侯勇 / 郑晓宁 / 田小洁 / 杨树泉 / 由立平,https://movie.douban.com/subject/4228508/
咱家那些事,7.9,周小刚,黄志忠 / 陈小艺 / 朱媛媛 / 周小斌 / 胡亚捷,https://movie.douban.com/subject/6724705/
大厨,7.9,马军骧,苗圃,https://movie.douban.com/subject/6900011/
兵峰,7.9,刘岩,贾一平 / 沈佳妮 / 王挺,https://movie.douban.com/subject/4090713/
曾经想火 第一季,7.9,马俊,王欣雨,https://movie.douban.com/subject/25884667/
后宫那些事儿第一季,7.9,董润年,吴弘 / 李北岳 / 康宁 / 秦语,https://movie.douban.com/subject/26279136/
明珠游龙,7.9,田少波,宋洋 / 杨净如 / 刘淼淼 / 吴静一 / 郑茜,https://movie.douban.com/subject/10563795/
疯人院,7.8,老算,刘畅 / 卢杉 / 梅婷 / 刘敏涛 / 张棪琰,https://movie.douban.com/subject/27083735/
夜天子,7.8,陈皓威,徐海乔 / 宋祖儿 / 王紫潼 / 肥龙 / 郝帅,https://movie.douban.com/subject/27005229/
小别离,7.8,汪俊,黄磊 / 海清 / 张子枫 / 朱媛媛 / 韩青,https://movie.douban.com/subject/26322639/
灵魂摆渡2,7.8,巨兴茂,于毅 / 刘智扬 / 肖茵 / 杨紫 / 马可,https://movie.douban.com/subject/26100709/
雪豹,7.8,陈皓威 / 杜玉明,文章 / 陶飞霏 / 朱杰 / 潘泰名 / 于震,https://movie.douban.com/subject/4917908/
我是特种兵,7.8,刘猛,谷智鑫 / 徐佳 / 刘晓洁 / 任天野 / 任柯诺,https://movie.douban.com/subject/5919553/
报告老板之豪言壮旅,7.8,刘循子墨,白客 / 刘浩 / 刘循子墨 / 张本煜 / 柯达,https://movie.douban.com/subject/26265147/
错点鸳鸯戏点鸳鸯,7.8,谭锐铭 / 寇占文,赵丽颖 / 戚迹 / 韩栋 / 周放 / 宋轶,https://movie.douban.com/subject/6890741/
历史转折中的邓小平,7.8,吴子牛,马少骅 / 萨日娜 / 张云立 / 张嘉译 / 王茜华,https://movie.douban.com/subject/25762261/
啦啦啦德玛西亚 第一季,7.8,萨拉雷,盖伦 / 赵信 / 嘉文,https://movie.douban.com/subject/21798946/
青岛往事,7.8,张新建,黄渤 / 巩峥 / 刘向京 / 傅淼 / 黄小蕾,https://movie.douban.com/subject/21961912/
中国远征军,7.8,董亚春 / 杨军,黄志忠 / 张丰毅 / 柯蓝 / 李玥 / 刘小宁,https://movie.douban.com/subject/5908529/
老有所依,7.8,赵宝刚 / 侣皓吉吉,刘涛 / 张铎 / 奚美娟 / 吕中 / 刘蓓,https://movie.douban.com/subject/20445146/
少年有点酷,7.8,唐韬,孙天宇 / 周梓琦 / 梁振锋 / 斌巴才仁 / 黄霄雲,https://movie.douban.com/subject/27068918/
麻辣隔壁·肆,7.8,杨羽,安宁 / 汪小壹 / 邢冬冬 / 邵庄 / 杨羽,https://movie.douban.com/subject/26617283/
家产,7.8,张汉杰,刘莉莉 / 贾乃亮 / 孙松 / 赵君 / 范雷,https://movie.douban.com/subject/6886522/
血战长空,7.8,高希希,邵兵 / 沙溢 / 李依晓 / 牛莉 / 吴京安,https://movie.douban.com/subject/6018992/
永不消逝的电波,7.8,智磊,赵立新 / 焦俊艳 / 吕行 / 邹涵虹 / 阎娜,https://movie.douban.com/subject/5258691/
温州两家人,7.8,孔笙 / 孙墨龙,郭涛 / 任程伟 / 袁咏仪 / 陈丽娜 / 刘奕君,https://movie.douban.com/subject/25870290/
西藏秘密,7.8,刘德濒,郭晓东 / 沈傲君 / 杨梅 / 曹炳琨 / 多布杰,https://movie.douban.com/subject/20503553/
芙蓉诀,7.8,黎涛,郑曦 / 郑媛元 / 徐海乔 / 石文中 / 尤勇,https://movie.douban.com/subject/11625530/
小野兽花店,7.8,张岩 / 唐若丁,胡可 / 王宫良 / 厉娜 / 赵魏 / 谭歆柔,https://movie.douban.com/subject/26306777/
护国军魂传奇,7.8,何澍培,于荣光 / 张铁林 / 赵文瑄 / 谢君豪 / 郑则仕,https://movie.douban.com/subject/5446225/
国家命运,7.8,延艺,刘劲 / 谢钢 / 史鑫 / 胡亚捷 / 韩中,https://movie.douban.com/subject/6968144/
铁血将军,7.8,韦廉,侯勇 / 刘芳毓 / 万思维 / 李丞峰 / 韦玮,https://movie.douban.com/subject/26384874/
娘,7.8,曲丽君,斯琴高娃 / 宋春丽 / 刘佳 / 徐秀林 / 顾艳,https://movie.douban.com/subject/6001046/
二次元奇妙物语,7.8,水王是煞笔,吃素的狮子 / 水王是煞笔 / ⑨命猫Yukirei / 黑石稔,https://movie.douban.com/subject/26955973/
金陵秘事,7.8,楼健,秦海璐 / 修宗迪 / 巩峥 / 王全有 / 张英,https://movie.douban.com/subject/6974342/
开心边角料,7.8,林柯,孙恺妍 / 乔杉,https://movie.douban.com/subject/25900909/
尖叫制片厂 第一季,7.8,肖颖,钟一宪 / 张弛 / 高小黑 / 大超 / 桃子,https://movie.douban.com/subject/26436977/
